ID,Supply Chain Segment,Updated,Team Member,Status2,Timeline,Company,Facility Name,Facility Type,Product Type,Product,Workforce,Production Capacity,Website,Facility Phone,Facility City,Facility State or Province,Facility Country,Data Source,Latitude,Longitude,Status,Workforce_dummy
1000,Raw Materials,8/9/21,NA,Active,NA,Albemarle Corporation,"Albemarle Corporation, Silver Peak NV",NA,Cathode raw materials,Lithium carbonate (crude),75,940 MT contained Li/yr,https://www.albemarle.com,775-937-2222,Silver Peak,NV,US,NA,37.740208,-117.792319,Commercial,75
1001,Raw Materials,8/9/21,NA,Active,NA,Albemarle Corporation,"Albemarle - Kings Mountain, NC",NA,Cathode raw materials,Lithium hydroxide,170,NA,https://www.albemarle.com,704-739-2501,Kings Mountain,NC,US,NA,35.22046574,-81.34165268000002,Commercial,170
1002,Raw Materials,8/1/22,NA,Active,NA,Cobalt 27 Capital Corporation,Cobalt 27 Capital Corporation,NA,Cathode raw materials,Cobalt,4,2160 MT contained Co/yr,https://www.cobalt27.com,414-560-9070,Vancouver,BC,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,27.2,-82,Pre-commercial or start-up,4
1002,Raw Materials,12/4/22,NA,Planned or under construction,2029,Albemarle Corporation,"Albemarle - Kings Mountain, NC",NA,Cathode raw materials,Spodumene concentrate (5.5-6% Li2O),200,20125 MT contained Li/yr,https://www.albemarle.com,704-739-2501,Kings Mountain,NC,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,35.22046574,-81.34165268000002,Planned (2029),200
1003,Raw Materials,8/9/21,NA,Active,NA,Corporation Lithium Éléments Critiques,Rose Lithium-Tantalum project,NA,Cathode raw materials,Lithium hydroxide,Unknown,5727 MT contained Li/yr,https://www.cecorp.ca/en,514 904-1496,Montreal,QC,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,45.50254159,-73.56549340000001,Pre-commercial or start-up,0
1004,Raw Materials,10/31/22,NA,Active,NA,Controlled Thermal Resources,Hell's Kitchen Lithium and Power Project,NA,Cathode raw materials,Li carbonate - crude,50,5800 MT contained Li/yr,https://www.cthermal.com,NA,Imperial,CA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,32.84853846,-115.5710864,Pre-commercial or startup,50
1004,Raw Materials,8/13/21,NA,Active,NA,Glencore,Raglan Mine,NA,Cathode raw materials,Nickel concentrates; Cobalt concentrates,1280,40000 MT contained Ni/yr; 827 MT contained Co/yr,https://www.glencore.ca/en/raglan,819-762-7800,Rouyn-Noranda,QC,Canada,NA,48.21381691,-78.82833399999998,Commercial,1280
1006,Raw Materials,8/13/21,NA,Active,NA,Glencore,Glencore Sudbury INO,NA,Cathode raw materials,Nickel matte,2500,75695 MT contained metal/yr,https://www.glencore.ca/en/sudburyino,705-693-2761,Sudbury,ON,Canada,NA,46.58693113,-80.76992249000001,Commercial,2500
1007,Raw Materials,8/13/21,CH,Planned or under construction,2023,Jervois Mining,Idaho Cobalt Project,NA,Cathode raw materials,Cobalt concentrates,150,1915 MT contained Ni/yr,https://www.jervoisglobal.com,6-139-583-0498,Lemhi County,ID,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,45.13067668,-114.3615809,Planned (2023),150
1008,Raw Materials,8/14/21,NA,Active,NA,Lundin Mining,Eagle Mine,NA,Cathode raw materials,Nickel ore,200,19000 MT contained Ni/yr,https://www.lundinmining.com/operations/eagle/,906-339-7000,Michigamme Township,MI,US,NA,46.75016171,-87.89998927,Commercial,200
