"GEO_ID","NAME","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P005008","P005009","P005010","P005011","P005012","P005013","P005014","P005015","P005016","P005017",
"Geography","Geographic Area Name","Total","Total!!Hispanic or Latino","Total!!Not Hispanic or Latino","Total!!Not Hispanic or Latino!!One race","Total!!Not Hispanic or Latino!!One race!!Black or African American alone","Total!!Not Hispanic or Latino!!One race!!White alone","Total!!Not Hispanic or Latino!!One race!!American Indian and Alaska Native alone","Total!!Not Hispanic or Latino!!One race!!Asian alone","Total!!Not Hispanic or Latino!!One race!!Native Hawaiian and Other Pacific Islander alone","Total!!Not Hispanic or Latino!!One race!!Some Other Race alone","Total!!Not Hispanic or Latino!!Two or More Races","Total!!Not Hispanic or Latino!!Two or More Races!!All combinations of Black or African American and White","Total!!Not Hispanic or Latino!!Two or More Races!!All combinations of Black or African American and White!!Black or African American and White","Total!!Not Hispanic or Latino!!Two or More Races!!All combinations of Black or African American and White!!All other combinations of Black or African American and White","Total!!Not Hispanic or Latino!!Two or More Races!!Black or African American in combination with one or more other races, except White","Total!!Not Hispanic or Latino!!Two or More Races!!White in combination with one or more other races, except Black or African American","Total!!Not Hispanic or Latino!!Two or More Races!!All other race combinations",
"1400000US78010970100","Census Tract 9701, St. Croix Island, United States Virgin Islands","1863","285","1578","1555","556","962","2","23","0","12","23","8","8","0","2","11","2",
"1400000US78010970200","Census Tract 9702, St. Croix Island, United States Virgin Islands","3122","955","2167","2140","1693","393","5","32","0","17","27","8","8","0","16","3","0",
"1400000US78010970300","Census Tract 9703, St. Croix Island, United States Virgin Islands","4723","1483","3240","3201","2597","513","15","60","0","16","39","11","6","5","13","15","0",
"1400000US78010970400","Census Tract 9704, St. Croix Island, United States Virgin Islands","4709","1066","3643","3569","2794","667","7","77","1","23","74","25","22","3","26","12","11",
"1400000US78010970500","Census Tract 9705, St. Croix Island, United States Virgin Islands","3428","884","2544","2507","2073","336","10","71","0","17","37","15","15","0","12","8","2",
"1400000US78010970600","Census Tract 9706, St. Croix Island, United States Virgin Islands","4222","640","3582","3515","2695","716","11","69","0","24","67","24","17","7","21","18","4",
"1400000US78010970700","Census Tract 9707, St. Croix Island, United States Virgin Islands","2243","483","1760","1752","1426","309","1","4","0","12","8","2","1","1","2","3","1",
"1400000US78010970800","Census Tract 9708, St. Croix Island, United States Virgin Islands","4105","1677","2428","2402","2236","85","5","18","0","58","26","7","7","0","18","1","0",
"1400000US78010970900","Census Tract 9709, St. Croix Island, United States Virgin Islands","2232","369","1863","1846","1694","133","2","8","0","9","17","10","2","8","5","1","1",
