Company,Updated,Team Member,Status,Status2,Timeline,Node,Supply Chain Segment,Facility Name,Product Type,Product,Facility City,Facility Phone,Facility or Company Website,Facility Workforce,Production Capacity,Production,Production Units,Latitude,Longitude,Data Source
Tesla Inc.,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Fremont Factory,Electric Vehicles,Model 3; Model Y; Model S; Model X,"Fremont, CA, USA",,https://www.tesla.com/fremont-factory,10000,,,,37.49316653,-121.9436241,https://www.tesla.com/fremont-factory
Tesla Inc.,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Gigafactory Texas,Electric Vehicles,Model Y,"Austin, TX, USA",,https://www.tesla.com/giga-texas,10000,,,,30.23395491,-97.5886874,https://electrek.co/2021/03/31/tesla-10000-people-gigafactory-texas-student-worker-effort/
General Motors,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,General Motors Orion Assembly,Electric Vehicles,Bolt EV; Bolt EUV; Silverado EV,"Lake Orion, MI, USA",,https://www.gm.com/company/facilities/orion?evar25=media_facility,1252,,,,42.71779785,-83.25947915,https://www.gm.com/company/facilities/orion
General Motors,11/21/22,,PC-SU,Pre-commercial or startup,2023,Electric Vehicles,Downstream,GM Ramos Arizpe Assembly,Electric Vehicles,Equinox EV; Blazer EV,"Coahuilla, Mexico",,https://www.gm.com.mx/es/home.html,,,,,25.51100604,-100.9666382,https://www.electrive.com/2022/04/01/gm-begins-converting-electric-car-plant-in-mexico/
General Motors,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,"GM Factory ZERO, Detroit-Hamtramck Assembly Center",Electric Vehicles,Silverado EV; Hummer EV; Sierra,"Detroit, MI, USA",,https://www.gm.com/company/facilities/factory-zero,947,,,,42.38073267,-83.04418839,https://www.gm.com/company/facilities/factory-zero
General Motors,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Spring Hill Manufacturing,Electric Vehicles,Lyriq,"Spring Hill, TN, USA",,https://www.gm.com/company/facilities/spring-hill?evar25=media_facility,3505,,,,35.74326722,-86.95577968,https://www.gm.com/company/facilities/spring-hill
Nissan,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Nissan Smyrna Assembly Plant,Electric Vehicles,Leaf,"Smyrna, TN, USA",,https://www.nissan-tennessee.com/en,7000,,,,35.96444335,-86.48962129,https://nissan-tennessee.com/en/about-nissan-smyrna
Stellantis,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Stellantis Toluca Assembly Plant,Electric Vehicles,500e,"Toluca, Mexico",,https://www.media.stellantisnorthamerica.com/homepage.do?mid=1,2748,,,,19.28869922,-99.60471823,https://media.stellantisnorthamerica.com/newsrelease.do?id=317
Volkswagen,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Volkswagen Chattanooga,Electric Vehicles,e-Golf; ID.4,"Chattanooga, TN, USA",,https://www.volkswagengroupofamerica.com/en-us/chattanooga-facts,5000,,,,35.07756372,-85.12870964,https://www.vw.com/en/newsroom/future-of-mobility/chattanooga-hr.html
Ford Motor Company,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Cuautitlan Stamping and Assembly Plant,Electric Vehicles,Mustang Mach-E,"Cuautitlan, Mexico",,https://www.corporate.ford.com/operations/locations/global-plants.html,1000,,,,19.6455746,-99.18874781,https://corporate.ford.com/operations/locations/global-plants.html
Ford Motor Company,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Dearborn Truck Plant,Electric Vehicles,F-150 Lightning,"Dearborn, MI, USA",,https://www.corporate.ford.com/operations/locations/global-plants.html,4400,,,,42.30573009,-83.16201329,https://corporate.ford.com/operations/locations/global-plants.html
Stellantis,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Warren Stamping Plant,Electric Vehicles,Ram 1500 EV,"Warren, MI, USA",,https://www.media.stellantisnorthamerica.com/newsrelease.do?id=342,1486,,,,42.45571911,-83.04084723,https://media.stellantisnorthamerica.com/newsrelease.do?id=342
Stellantis,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Brampton Assembly Plant,Electric Vehicles,Charger Daytona SRT,"Brampton, ON, CAN",,https://www.media.stellantisnorthamerica.com/newsrelease.do?id=332&mid=,3045,,,,43.75163384,-79.71569302,https://media.stellantisnorthamerica.com/newsrelease.do?id=332&mid=
Mercedes-Benz,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Mercedes-Benz U.S. International (MBUSI),Electric Vehicles,EQS; EQE,"Vance, AL, USA",,https://www.mbusi.com/,600,,,,33.18436412,-87.26332312,https://www.caranddriver.com/news/a39433282/mercedes-benz-battery-factory-alabama/
Rivian,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Rivian Normal Plant,Electric Vehicles,R1T,"Normal, IL, USA",,https://www.rivian.com/our-company,6680,,,,40.51373134,-89.0557573,https://www.wglt.org/local-news/2021-10-11/rivian-tops-3-000-workers-at-plant-in-normal
Lucid,11/21/22,,C,Commercial,,Electric Vehicles,Downstream,Lucid AMP-1 Factory,Electric Vehicles,Air; Project Gravity,"Casa Grande, AZ, USA",,https://www.lucidmotors.com/,6000,,,,32.86001482,-111.7775152,https://azgovernor.gov/governor/news/2021/09/lucid-motors-starts-production-lucid-air-amp-1-factory-casa-grande
