ID,Supply Chain Segment,Updated,Team Member,Status2,Timeline,Company,Facility Name,Facility Type,Product Type,Product,Workforce,Production Capacity,Website,Facility Phone,Facility City,Facility State or Province,Facility Country,Data Source,Latitude,Longitude,Status,Workforce_dummy,Icon
4000,Electrodes and Cells,11/26/22,NA,Active,NA,24 M Technologies,Cambridge Facility,NA,Other/ Unknown cells,LIBs with semi-solid electrodes,110,NA,https://www.24-m.com,617-553-1012,Cambridge,MA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,42.36047475,-71.10428371,Active,110,Manufacturing
7000,Equipment,11/26/22,NA,Active,NA,24 M Technologies,Cambridge Facility,NA,Manufacturing Equipment,Other - entire process,110,NA,https://www.24-m.com,617-553-1012,Cambridge,MA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,42.36047475,-71.10428371,Active,110,Support Industries
5000,Modules and Packs,8/9/21,NA,Active,NA,3M,3M Guin,NA,Non-cell components,Thermal Systems,Unknown,NA,https://www.3m.com,205-468-3315,Guin,AL,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,33.96605937,-87.8987665,Active,0,Manufacturing
5001,Modules and Packs,8/9/21,NA,Active,NA,3M,3M Cottage Grove,NA,Non-cell components,Thermal Systems,Unknown,NA,https://www.3m.com,651-458-2334,Cottage Grove,MN,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,44.79444131,-92.91349446,Active,0,Manufacturing
5002,Modules and Packs,8/9/21,NA,Active,NA,3M,3M Springfield,NA,Non-cell components,Safety Systems,Unknown,NA,https://www.3m.com,417-869-3501,Springfield,MO,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,37.21235571,-93.22785202,Active,0,Manufacturing
9001,Research and Development,7/31/22,NA,Active,NA,6K,"6K, Inc",NA,Manufacturing/ Process Development; Materials,Plasma UniMelt Technology for manufacturing; Cathode powders,11,NA,https://www.6kinc.com/6k-energy,978-258-1645,North Andover,MA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,42.71856588,-71.11452173,Active,11,Support Industries
298999,Battery Grade Materials,5/1/23,CH,Planned or under construction,2025,6K,PlusCAM Plant,NA,Cathode Active Material (CAM),NA,230,10000 tpa/yr,NA,NA,Jackson,TN,US,https://www.charged-the-book.com/na-ev-supply-chain-map,35.5966781,-88.9444183,Planned (2025),230,Raw Materials
10000,Modeling,8/27/21,NA,Active,NA,A&D Technology,NA,NA,Software,"BMS HILS
iTest",Unknown,NA,https://www.aanddtech.com,734-973-1111,Ann Arbor,MI,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,42.21950497,-83.73232239,Active,0,Support Industries
9003,Research and Development,NA,NA,Active,NA,A123 Systems,Cell Test Center,NA,Manufacturing/ Process Development,Cell chemistry & manufacturing,Unknown,NA,http://www.a123systems.com/,617-972-3473,Hopkinton,MA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,42.19885697,-71.54469209,Active,0,Support Industries
9004,Research and Development,NA,NA,Active,NA,A123 Systems,Research and Development,NA,Manufacturing/ Process Development,Cell chemistry & manufacturing,Unknown,NA,http://www.a123systems.com/,617-778-5700,Waltham,MA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,42.3919673,-71.26877849,Active,0,Support Industries
