State_or_Territory, Minimum_Wage , Minimum_Tipped_Wage ,Same_as_regular_minimum_wage
Alabama,$7.25 ,$2.13 ,No state minimum wage requirement. Federal minimum wage applies. 
Alaska,$10.85 ,$10.85 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.
Arizona,$13.85 ,$10.85 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).
Arkansas,$11.00 ,$2.63 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).
California,$15.50 ,$15.50 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.
Colorado,$13.65 ,$10.63 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).
Commonwealth of the Northern Mariana Islands,$7.25 ,$2.13 ,Minimum wage and minimum tipped wage are the same as federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).
Connecticut,$14.00 ,$6.38 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).
Delaware,$11.75 ,$2.23 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).
District of Columbia,$16.50 ,$5.35 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).
Florida,$11.00 ,$7.98 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).
Georgia,$7.25 ,$2.13 ,Minimum wage and minimum tipped wage are the same as federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).
