State_or_Territory,Abbreviation,Overall Index Ranking,Overall Index,Wage Dimension Ranking,Wage Dimension Index,Worker Protection Dimension Ranking,Worker Protection Dimension Index,Right to Organize Dimension Ranking,Right to Organize Dimension Index,MIT Living Wage 2022,Minimum Wage 2022,Wage Ratio,Minimum Tipped Cash Wage 2021,Tip Wage Ratio,Working Family Weekly UI Benefit,UI to MIT Living Wage Ratio,UI Ratio with CARES,Local Control of Minimum Wage,Farmworkers Covered by Minimum Wage,Private Sector Pregnant Worker Accommodation,Private Sector Right to Pump,Basic Equal Pay,No Pay Secrecy,No Private Sector Salary History,Family Leave in Place,Sick Leave in Place,Flexible Scheduling,Reporting Pay,Split Shift Pay,Advanced Shift Notice,Sexual Harassment in the Law,Farmworker Compensation,Domestic Worker Protections,Heat Standard,Right to Work,Teachers Collective Bargaining,Teachers Wage Negotiation,PLAs Allowed Locally,Protections From Retaliation,Collective Bargaining
Alabama,AL,49,10.06015619,47,6.400390484,49,14.28571429,47,10,35.02,7.25,0.207024557,2.13,0.293793103,145,0.103512279,0.120672437,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Yes,0,0,0,0,0.5
Alaska,AK,24,43.65741261,18,58.10186486,37,22.61904762,29,50,36.4,10.34,0.284065934,10.34,1,241.5648,0.16590989,0.19074921,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,No,1,1,0,0,0.5
Arizona,AZ,20,52.05391149,7,69.71811205,25,33.33333333,29,50,37.82,12.8,0.338445267,9.8,0.765625,240,0.158646219,0.185070944,1,0.5,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,Yes,0,0,1,1,0.5
Arkansas,AR,33,29.49242984,24,44.56440793,32,26.19047619,47,10,34.81,11,0.316001149,2.63,0.239090909,220,0.158000575,0.17828201,0,0.5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,1,0,0,0,0
California,CA,2,85.55541626,5,70.13854064,2,92.85714286,1,100,46.75,14,0.299465241,14,1,280,0.14973262,0.342885133,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,No,1,1,1,1,1
Colorado,CO,9,68.38044789,4,70.95111973,10,64.28571429,22,70,40.11,12.56,0.313138868,9.54,0.75955414,301.44,0.187883321,0.390955924,1,0.5,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,No,1,1,1,0,0.5
Connecticut,CT,7,75.29257279,3,72.60643198,5,75,11,80,40.76,14,0.343473994,6.38,0.455714286,310,0.19013739,0.417521242,1,0.5,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,No,1,1,1,0,1
Delaware,DE,21,51.09482883,27,40.23707208,20,42.85714286,11,80,38.93,10.5,0.269714873,2.23,0.212380952,237.3913043,0.152447537,0.376019523,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,No,1,1,1,0,1
District of Columbia,DC,4,80.23335907,2,76.62506435,8,70.23809524,1,100,45.17,16.1,0.35643126,5.05,0.313664596,322,0.17821563,0.392411642,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,No,1,1,1,1,1
Florida,FL,29,37.87055952,30,37.38473213,37,22.61904762,26,60,37.25,10,0.268456376,6.98,0.698,200,0.134228188,0.133983891,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,Yes,1,1,0,1,1
Georgia,GA,50,7.523680142,46,8.392533688,50,11.9047619,49,0,36.8,7.25,0.19701087,2.13,0.293793103,179.5238095,0.12195911,0.139252102,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0,0,0,0
Hawaii,HI,19,57.89850842,23,44.74627105,11,57.14285714,11,80,45.71,10.1,0.220958215,9.35,0.925742574,250.0952381,0.136783657,0.340405469,1,0.5,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,No,1,1,1,0,1
Idaho,ID,43,21.4443773,41,11.94427659,32,26.19047619,39,30,36.99,7.25,0.195998919,3.35,0.462068966,145,0.097999459,0.11585171,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Yes,1,1,0,0,0.5
Illinois,IL,10,67.76705491,13,63.16763726,15,53.57142857,5,95,38.42,12,0.312337324,7.2,0.6,251.6,0.163716814,0.409468183,1,0.5,1,1,1,1,1,0,0,0,0,0,0,1,0.5,1,0,No,1,1,1,0.75,1
Indiana,IN,36,26.40038609,48,5.584298563,32,26.19047619,26,60,34.73,7.25,0.208753239,2.13,0.293793103,136.3,0.098114022,0.11305574,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,1,1,1,0,1
Iowa,IA,39,24.94644697,37,17.57445076,37,22.61904762,32,40,37.87,7.25,0.191444415,4.35,0.6,179.5238095,0.118513209,0.143343827,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,Yes,1,1,0,0,1
Kansas,KS,46,18.47858843,50,4.529804399,45,19.04761905,32,40,37.45,7.25,0.193591455,2.13,0.293793103,160.225,0.106959279,0.375265003,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,1,1,0,0,1
Kentucky,KY,35,26.76145126,39,12.73696147,25,33.33333333,32,40,34.49,7.25,0.210205857,2.13,0.293793103,179.79884,0.13032679,0.396135106,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,1,0,1,0,0.5
Louisiana,LA,42,22.97727789,44,8.484861383,24,34.52380952,39,30,36.96,7.25,0.196158009,2.13,0.293793103,182.091,0.123167614,0.374759795,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0.5,0,0,Yes,1,0,0,0.5,0.5
Maine,ME,13,65.57296516,9,67.0574129,15,53.57142857,11,80,39.06,12.75,0.326420891,6.38,0.500392157,321.3636364,0.205685891,0.468359934,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0.5,0,0,No,1,1,1,0,1
Maryland,MD,14,63.04547895,15,60.73869739,15,53.57142857,11,80,40.4,12.5,0.309405941,3.63,0.2904,286.8333333,0.177495875,0.19103596,1,0.5,1,0,1,1,1,1,1,0,0,0,0,1,0.5,0,0,No,1,1,1,0,1
Massachusetts,MA,6,76.35602157,8,69.01505392,5,75,7,90,43.77,14.25,0.325565456,6.15,0.431578947,335,0.191341101,0.446428571,1,0.5,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,No,1,1,1,0.5,1
Michigan,MI,31,36.04214179,29,38.02202115,29,30.95238095,32,40,35.94,9.87,0.274624374,3.75,0.37993921,222.4284,0.154722037,0.436394134,0,0.5,0,0,1,1,0,0,0.5,0,0,0,0,1,0.5,0,0,Yes,1,1,0,0,1
Minnesota,MN,18,58.5606537,19,53.69330091,21,41.66666667,7,90,38.9,10.33,0.265552699,10.33,1,206.6,0.13277635,0.380461165,1,0.5,1,1,1,1,0,0,0,0,0,0,0,1,0.5,0,0,No,1,1,1,0.5,1
Mississippi,MS,51,7.106497531,49,5.266243827,52,0,44,20,35.67,7.25,0.203252033,2.13,0.293793103,145,0.101626016,0.120471918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,0,0,0,0.5
Missouri,MO,30,37.26649041,22,45.24955935,45,19.04761905,29,50,37.1,11.15,0.300539084,5.58,0.50044843,231.92,0.156280323,0.169762282,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,No,1,1,0,0,0.5
Montana,MT,26,42.8512161,21,49.83637359,37,22.61904762,26,60,36.92,9.2,0.249187432,9.2,1,191.36,0.129577465,0.144215531,1,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,No,1,1,0,0,1
Nebraska,NE,25,43.36282436,32,28.19872757,21,41.66666667,22,70,37.36,9,0.240899358,2.13,0.236666667,180,0.120449679,0.143129771,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0.5,0,0,Yes,1,1,1,0.5,1
Nevada,NV,16,60.35838781,17,60.27096952,15,53.57142857,22,70,36.58,10.5,0.2870421,9.75,0.928571429,218.4,0.149261892,0.400657895,1,0.5,1,1,1,1,1,0,0.5,0,0,0,0,1,0,1,0,Yes,1,1,1,0.5,1
New Hampshire,NH,28,41.70463901,34,20.92826418,23,38.0952381,11,80,37.04,7.25,0.195734341,3.26,0.449655172,165.88,0.111960043,0.133947028,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,No,1,1,1,0,1
New Jersey,NJ,8,74.76578143,12,65.03945357,5,75,7,90,43.44,13,0.299263352,5.13,0.394615385,346.32,0.199309392,0.440363843,1,0.5,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,No,1,1,1,0.5,1
New Mexico,NM,12,65.64474879,11,66.19520531,14,54.76190476,11,80,36.61,11.5,0.314121825,2.8,0.243478261,296.1,0.202198853,0.454955668,1,0.5,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,No,1,1,1,0,1
New York,NY,5,79.3061578,10,67.0153945,3,78.57142857,1,100,43.1,13.2,0.306264501,8.8,0.666666667,264,0.153132251,0.382156754,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,No,1,1,1,1,1
North Carolina,NC,52,4.552743163,51,4.090191241,51,8.333333333,49,0,36.37,7.25,0.199340115,2.13,0.293793103,145,0.099670058,0.355886116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,Yes,0,0,0,0,0
North Dakota,ND,40,24.11869973,35,18.63008266,32,26.19047619,39,30,34.94,7.25,0.207498569,4.86,0.670344828,145,0.103749284,0.122673435,0,0.5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,1,0,0,0.5,0.5
Ohio,OH,23,49.09151677,26,40.43712527,32,26.19047619,5,95,34.83,9.3,0.267011197,4.65,0.5,188,0.134941143,0.148900169,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,No,1,1,1,0.75,1
Oklahoma,OK,45,18.79830497,45,8.454095769,37,22.61904762,39,30,35.47,7.25,0.204398083,2.13,0.293793103,163.9130435,0.115529351,0.134003469,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,Yes,1,1,0,0,0.5
Oregon,OR,1,86.72192196,6,69.9298049,1,96.42857143,1,100,41.36,13.5,0.326402321,13.5,1,351,0.212161509,0.429292929,0,0.5,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,No,1,1,1,1,1
Pennsylvania,PA,32,33.41922416,38,13.75639374,37,22.61904762,11,80,36.34,7.25,0.199504678,2.83,0.390344828,157.744,0.108519538,0.39352132,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,No,1,1,1,0,1
Puerto Rico,PR,17,59.29922901,28,38.87307252,9,67.85714286,11,80,28.67,8.5,0.296477154,2.13,0.250588235,170,0.148238577,0.447866345,0,0.5,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,No,1,1,1,0,1
Rhode Island,RI,15,60.65883463,20,51.64708658,11,57.14285714,11,80,38.11,12.25,0.321437943,3.89,0.31755102,275.245,0.180559564,0.441264965,0,0.5,1,1,1,0,0.5,1,1,0,1,0,0,1,0.5,0,0,No,1,1,1,0,1
South Carolina,SC,47,12.51241009,52,2.11435857,25,33.33333333,49,0,37.61,7.25,0.192767881,2.13,0.293793103,145,0.09638394,0.109252562,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,0,0,0,0,0
South Dakota,SD,27,42.22867879,14,60.78003031,37,22.61904762,32,40,33.83,9.95,0.294117647,4.975,0.5,199,0.147058824,0.161870504,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,Yes,1,1,0,0,1
Tennessee,TN,41,23.11532073,42,9.871635161,25,33.33333333,39,30,33.17,7.25,0.218570998,2.13,0.293793103,145,0.109285499,0.125129444,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,1,1,0,0,0.5
Texas,TX,48,11.5645172,40,12.24462632,45,19.04761905,49,0,35.75,7.25,0.202797203,2.13,0.293793103,150.8,0.105454545,0.122601626,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,0,0,0,0,0
Utah,UT,44,18.94474594,43,8.820198187,30,29.76190476,44,20,36.86,7.25,0.196690179,2.13,0.293793103,140,0.09495388,0.109204368,0,0.5,1,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,Yes,1,0,0,0,0.5
Vermont,VT,11,66.73069787,16,60.57674468,11,57.14285714,7,90,39.53,12.55,0.317480395,6.28,0.500398406,290.0444444,0.183433117,0.434048873,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0.5,0,0,No,1,1,1,0.5,1
Virginia,VA,22,49.61791329,25,40.71144989,19,48.80952381,25,65,39.18,11,0.280755487,2.13,0.193636364,228.8,0.145992853,0.334619952,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0.5,1,0,Yes,1,1,1,0.75,0.5
Washington,WA,3,83.32861158,1,89.57152896,3,78.57142857,11,80,37.66,14.49,0.384758364,14.49,1,290.0898,0.192571561,0.43085695,1,0.5,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,No,1,1,1,0,1
West Virginia,WV,34,29.35328794,31,34.84155318,30,29.76190476,44,20,34.88,8.75,0.250860092,2.62,0.299428571,192.5,0.13797305,0.160416667,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,Yes,1,0,0,0,0.5
Wisconsin,WI,38,25.08401501,36,17.91837086,37,22.61904762,32,40,36.34,7.25,0.199504678,2.33,0.32137931,150.8,0.103742433,0.363783086,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,Yes,1,1,0,0,1
Wyoming,WY,37,25.42965505,33,21.90747097,45,19.04761905,32,40,33.88,7.25,0.213990555,2.13,0.293793103,150.8,0.111275089,0.12766678,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,1,0,1,0,0.5
