OBJECTID,GEOID,State_or_Territory,Median_Income,Abbreviation,Overall_Index_Ranking,Overall_Index,Wage_Dimension_Ranking,Wage_Dimension_Index,Worker_Protection_Dimension_Ranking,Worker_Protection_Dimension_Index,Right_to_Organize_Dimension_Ranking,Right_to_Organize_Dimension_Index,MIT_Living_Wage_2022,Minimum_Wage_2022,Wage_Ratio,Minimum_Tipped_Cash_Wage_2021,Tip_Wage_Ratio,Working_Family_Weekly_UI_Benefit,UI_to_MIT_Living_Wage_Ratio,UI_Ratio_with_CARES,Local_Control_of_Minimum_Wage,Farmworkers_Covered_by_Minimum_Wage,Private_Sector_Pregnant_Worker_Accommodation,Private_Sector_Right_to_Pump,Basic_Equal_Pay,No_Pay_Secrecy,No_Private_Sector_Salary_History,Family_Leave_in_Place,Sick_Leave_in_Place,Flexible_Scheduling,Reporting_Pay,Split_Shift_Pay,Advanced_Shift_Notice,Sexual_Harassment_in_the_Law,Farmworker_Compensation,Domestic_Worker_Protections,Heat_Standard,Right_to_Work,Teachers_Collective_Bargaining,Teachers_Wage_Negotiation,PLAs_Allowed_Locally,Protections_From_Retaliation,Collective_Bargaining,Protections_From_Retaliation_text,2021_gdp_millionsOfDollars,2021_percentChange,Minimum_Wage,Minimum_Tipped_Wage,Same_as_regular_minimum_wage,Minimum_Wage_map,Minimum_Tipped_Wage_map
1,1,Alabama,54943,AL,49,10.06015619,47,6.400390484,49,14.28571429,47,10,35.02,7.25,20.7,2.13,0.293793103,145,0.103512279,0.120672437,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,254110,10.1,$7.25 ,$2.13 ,No state minimum wage requirement. Federal minimum wage applies.,7.25,2.13
2,2,Alaska,80287,AK,24,43.65741261,18,58.10186486,37,22.61904762,29,50,36.4,10.34,28.4,10.34,1,241.5648,0.16590989,0.19074921,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,57349,13.6,$10.85 ,$10.85 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,10.85,10.85
3,4,Arizona,65913,AZ,20,52.05391149,7,69.71811205,25,33.33333333,29,50,37.82,12.8,33.8,9.8,0.765625,240,0.158646219,0.185070944,Yes,"Yes, with some exceptions.",No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,1,Allowed,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, right to take complaints to a government agency and court, and potential for government-imposed fine.",420027,9.9,$13.85 ,$10.85 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,13.85,10.85
4,5,Arkansas,52123,AR,33,29.49242984,24,44.56440793,32,26.19047619,47,10,34.81,11,31.6,2.63,0.239090909,220,0.158000575,0.17828201,No,"Yes, with some exceptions.",No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,0,No,No. Criminal penalities only against wage theft retaliation (no civil penalties).,148676,11,$11.00 ,$2.63 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,11,2.63
5,6,California,84097,CA,2,85.55541626,5,70.13854064,2,92.85714286,1,100,46.75,14,29.9,14,1,280,0.14973262,0.342885133,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1,Required,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, right to take complaints to a government agency and court, and potential for government-imposed fine.",3373241,11.7,$15.50 ,$15.50 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,15.5,15.5
6,8,Colorado,80184,CO,9,68.38044789,4,70.95111973,10,64.28571429,22,70,40.11,12.56,31.3,9.54,0.75955414,301.44,0.187883321,0.390955924,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,436359,11.5,$13.65 ,$10.63 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,13.65,10.63
7,9,Connecticut,83572,CT,7,75.29257279,3,72.60643198,5,75,11,80,40.76,14,34.3,6.38,0.455714286,310,0.19013739,0.417521242,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,298395,8,$14.00 ,$6.38 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,14,6.38
8,10,Delaware,72724,DE,21,51.09482883,27,40.23707208,20,42.85714286,11,80,38.93,10.5,27,2.23,0.212380952,237.3913043,0.152447537,0.376019523,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,81160,7,$11.75 ,$2.23 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,11.75,2.23
9,11,District of Columbia,93547,DC,4,80.23335907,2,76.62506435,8,70.23809524,1,100,45.17,16.1,35.6,5.05,0.313664596,322,0.17821563,0.392411642,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,1,Required,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, right to take complaints to a government agency and court, and potential for government-imposed fine.",153670,6.2,$16.50 ,$5.35 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,16.5,5.35
10,12,Florida,61777,FL,29,37.87055952,30,37.38473213,37,22.61904762,26,60,37.25,10,26.8,6.98,0.698,200,0.134228188,0.133983891,No,"Yes, with some exceptions.",No,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,Yes,No,1,Required,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, right to take complaints to a government agency and court, and potential for government-imposed fine.",1255558,12.4,$11.00 ,$7.98 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,11,7.98
